variant,num_params,epochs,train_time_s,overall_accuracy,mean_class_accuracy,val_loss
pointnet2_baseline,1036164,5,7.2,0.3438,0.25,1.5974
+ point_resampling,1036164,5,8.6,0.3438,0.25,1.7329
+ height_appending,1036036,5,8.6,0.3438,0.25,1.5776
+ random_scaling,1036036,5,8.6,0.125,0.25,1.5644
+ label_smoothing,1036036,5,8.6,0.125,0.25,1.5031
+ adamw,1036036,5,8.6,0.125,0.25,1.8757
+ cosine_decay,1036036,5,8.6,0.125,0.25,1.8757
+ normalize_dp,1036036,5,8.6,0.4688,0.5,1.9893
+ pointnext_s,869604,5,11.7,0.3438,0.25,1.695
+ pointnext_b,3816740,5,17.3,0.6562,0.5,1.3902
